PERMNO,date,TICKER,COMNAM,RET
10107,9/28/07,MSFT,MICROSOFT CORP,0.025409
10107,10/31/07,MSFT,MICROSOFT CORP,0.249491
10107,11/30/07,MSFT,MICROSOFT CORP,-0.084216
10107,12/31/07,MSFT,MICROSOFT CORP,0.059524
10107,1/31/08,MSFT,MICROSOFT CORP,-0.08427
10107,2/29/08,MSFT,MICROSOFT CORP,-0.162273
10107,3/31/08,MSFT,MICROSOFT CORP,0.043386
10107,4/30/08,MSFT,MICROSOFT CORP,0.004933
10107,5/30/08,MSFT,MICROSOFT CORP,-0.003156
10107,6/30/08,MSFT,MICROSOFT CORP,-0.028602
10107,7/31/08,MSFT,MICROSOFT CORP,-0.065067
10107,8/29/08,MSFT,MICROSOFT CORP,0.065319
10107,9/30/08,MSFT,MICROSOFT CORP,-0.021986
10107,10/31/08,MSFT,MICROSOFT CORP,-0.163357
10107,11/28/08,MSFT,MICROSOFT CORP,-0.08867
10107,12/31/08,MSFT,MICROSOFT CORP,-0.038576
10107,1/30/09,MSFT,MICROSOFT CORP,-0.12037
10107,2/27/09,MSFT,MICROSOFT CORP,-0.047953
10107,3/31/09,MSFT,MICROSOFT CORP,0.137461
10107,4/30/09,MSFT,MICROSOFT CORP,0.102885
10107,5/29/09,MSFT,MICROSOFT CORP,0.037512
10107,6/30/09,MSFT,MICROSOFT CORP,0.137865
10107,7/31/09,MSFT,MICROSOFT CORP,-0.010517
10107,8/31/09,MSFT,MICROSOFT CORP,0.053571
10107,9/30/09,MSFT,MICROSOFT CORP,0.043408
10107,10/30/09,MSFT,MICROSOFT CORP,0.078149
10107,11/30/09,MSFT,MICROSOFT CORP,0.065272
10107,12/31/09,MSFT,MICROSOFT CORP,0.036382
10107,1/29/10,MSFT,MICROSOFT CORP,-0.075459
10107,2/26/10,MSFT,MICROSOFT CORP,0.022001
10107,3/31/10,MSFT,MICROSOFT CORP,0.021538
10107,4/30/10,MSFT,MICROSOFT CORP,0.042595
10107,5/28/10,MSFT,MICROSOFT CORP,-0.150811
10107,6/30/10,MSFT,MICROSOFT CORP,-0.10814
10107,7/30/10,MSFT,MICROSOFT CORP,0.121686
10107,8/31/10,MSFT,MICROSOFT CORP,-0.085819
10107,9/30/10,MSFT,MICROSOFT CORP,0.043682
10107,10/29/10,MSFT,MICROSOFT CORP,0.088812
10107,11/30/10,MSFT,MICROSOFT CORP,-0.046784
10107,12/31/10,MSFT,MICROSOFT CORP,0.105018
10107,1/31/11,MSFT,MICROSOFT CORP,-0.006628
10107,2/28/11,MSFT,MICROSOFT CORP,-0.035528
10107,3/31/11,MSFT,MICROSOFT CORP,-0.044771
10107,4/29/11,MSFT,MICROSOFT CORP,0.020874
10107,5/31/11,MSFT,MICROSOFT CORP,-0.028935
10107,6/30/11,MSFT,MICROSOFT CORP,0.039584
10107,7/29/11,MSFT,MICROSOFT CORP,0.053846
10107,8/31/11,MSFT,MICROSOFT CORP,-0.023358
10107,9/30/11,MSFT,MICROSOFT CORP,-0.064286
10107,10/31/11,MSFT,MICROSOFT CORP,0.069908
10107,11/30/11,MSFT,MICROSOFT CORP,-0.031919
10107,12/30/11,MSFT,MICROSOFT CORP,0.014855
10107,1/31/12,MSFT,MICROSOFT CORP,0.137519
10107,2/29/12,MSFT,MICROSOFT CORP,0.081612
10107,3/30/12,MSFT,MICROSOFT CORP,0.016226
10107,4/30/12,MSFT,MICROSOFT CORP,-0.007441
10107,5/31/12,MSFT,MICROSOFT CORP,-0.081993
10107,6/29/12,MSFT,MICROSOFT CORP,0.047962
10107,7/31/12,MSFT,MICROSOFT CORP,-0.036613
10107,8/31/12,MSFT,MICROSOFT CORP,0.052596
10107,9/28/12,MSFT,MICROSOFT CORP,-0.034393
10107,10/31/12,MSFT,MICROSOFT CORP,-0.040995
10107,11/30/12,MSFT,MICROSOFT CORP,-0.05939
10107,12/31/12,MSFT,MICROSOFT CORP,0.003558
10107,1/31/13,MSFT,MICROSOFT CORP,0.027717
10107,2/28/13,MSFT,MICROSOFT CORP,0.021129
10107,3/28/13,MSFT,MICROSOFT CORP,0.028957
10107,4/30/13,MSFT,MICROSOFT CORP,0.15714
10107,5/31/13,MSFT,MICROSOFT CORP,0.061329
10107,6/28/13,MSFT,MICROSOFT CORP,-0.010172
10107,7/31/13,MSFT,MICROSOFT CORP,-0.078304
10107,8/30/13,MSFT,MICROSOFT CORP,0.056219
10107,9/30/13,MSFT,MICROSOFT CORP,-0.003593
